Targeton Name,Gene,Screen ID,Hdr Vector Lot,HDR_nanodrop (ng/ul),HDR_A260/A280,HDR_A260/A230,Qubit(ng/ul),HDR_actual_DNA,gRNA Vector Lot,gRNA_nanodrop (ng/ul),gRNA_A260/A280,gRNA_A260/A230,gRNA_Qubit (ng/ul),gRNA_actual_DNA,Per_Million_TotalDNA,D4R1 Mapped Reads,D4R2 Mapped Reads,D4R3 Mapped Reads,Average_mapped_reads,Comment,Average_TransfectionEfficency_GFP,Average_Cell_Count,Average_Total_Cells,%_Surviving_Cells,Estimated_Edited_Cells,%_Successful_Edited_Cells
IBZO,BRCA2,IBZO_2_scr223,IBZO_hdr596,1112,1.977,2.683,270,3.642086331,IBZO_gRNAvec677,932.7,1.942,2.44,399,3.208427147,0.342525674,17.1,16.7,17.8,17.2,,47.65,,,,,
IHMH,SMC1A,IHMH_1_scr170,IHMH_hdr521,1015.1,1.976,2.589,344,5.08324303,IHMH_gRNAvec587,713.1,1.905,2.053,645,6.783761043,0.593350204,22.9,22.9,24.4,23.4,,56.05,4368333.333,34946666.67,174.7333333,8177520,40.8876
IPMH,BRCA2,IPMH_1_scr194,IPMH_hdr579,1055.7,2.001,2.584,388,5.51292981,IPMH_gRNAvec398,1055,1.943,2.311,695,4.940758294,0.522684405,25.3,25.4,25.6,25.43333333,,64.4,,,,,
IZFR,SMC1A,IZFR_2_scr149,IZFR_hdr465,1151.6,2.013,2.692,266,3.464744703,IZFR_gRNAvec455,207.5,1.918,2.204,240,8.674698795,0.606972175,58.7,43.8,43.6,48.7,,,3808333.333,30466666.67,152.3333333,14837266.67,74.18633333
JCOL,CHD4,JCOL_1_scr128,JCOL_hdr419,,,,,,JCOL_gRNAvec095,,,,,,,38.5,41.4,42,40.63333333,,56.4,3803333.333,30426666.67,152.1333333,12363368.89,61.81684444
JJIG,BRCA2,JJIG_1_scr211,JJIG_hdr597,938,1.983,2.704,170,2.718550107,JJIG_gRNAvec399,816.75,1.921,2.281,530,4.866850321,0.379270021,20.2,19.6,19.6,19.8,,74.9,,,,,
JSRH,DDX54,JSRH_1_scr142,JSRH_hdr422,1235,1.93,2.328,450,5.465587045,JSRH_gRNAvec096,943.1,1.914,2.205,665,5.288410561,0.53769988,42.3,48.1,49.6,46.66666667,,,4451666.667,35613333.33,178.0666667,16619555.56,83.09777778
JZEC,MED12,JZEC_1_scr135,JZEC_hdr437,,,,,,JZEC_gRNAvec626,840.55,1.899,2.205,570,5.085955624,0.254297781,46.2,47.8,50.8,48.26666667,,,3071666.667,24573333.33,122.8666667,11860728.89,59.30364445
KJQT,SMC1A,KJQT_3_scr150,KJQT_hdr466,738.85,1.88,2.199,306,6.212357041,KJQT_gRNAvec456,339.55,1.911,2.227,281,6.20674422,0.620955063,62.9,55,52.6,56.83333333,,,2193333.333,17546666.67,87.73333333,9972355.555,49.86177777
KOSA,CTCF,KOSA_3_scr191,KOSA_hdr560,1459.2,1.974,2.564,246,2.528782895,KOSA_gRNAvec666,1062.5,1.995,2.676,540,3.811764706,0.31702738,40.4,37.7,36.8,38.3,,76.25,,,,,
KVDT,POLD1,KVDT_1_scr236,KVDT_hdr683,1089,1.969,2.5,154,2.121212121,KVDT_gRNAvec486,1116.5,1.918,2.164,725,4.87012987,0.3495671,32.7,34.1,31.3,32.7,,77.1,,,,,
KYIX,BRCA2,KYIX_1_scr198,KYIX_hdr578,844.9,1.99,2.624,352,6.249260267,KYIX_gRNAvec402,1090.5,1.924,2.323,800,5.502063274,0.587566177,24.6,22.5,22.5,23.2,,49.7,,,,,
LEWP,CTCF,LEWP_1_scr155,LEWP_hdr479,,,,,,LEWP_gRNAvec314,1361.9,1.96,2.326,645,3.552022909,0.177601145,26.3,33.9,41,33.73333333,,,5708333.333,45666666.67,228.3333333,15404888.89,77.02444444
LKHB,BRCA2,LKHB_1_scr212,LKHB_hdr598,1108.3,1.998,2.718,274,3.708382207,LKHB_gRNAvec404,438.65,1.908,2.259,272,4.650632623,0.417950741,26.8,26.5,26.7,26.66666667,,64.4,,,,,
LLXA,BRCA2,LLXA_1_scr196,LLXA_hdr581,1132.7,1.999,2.576,404,5.350048557,LLXA_gRNAvec405,991.6,1.929,2.306,620,4.689390883,0.501971972,39.2,37.1,36.7,37.66666667,,36.85,,,,,
LUSO,BRCA2,LUSO_1_scr197,LUSO_hdr583,883.1,1.984,2.583,396,6.726305062,LUSO_gRNAvec406,994.8,1.929,2.308,585,4.410434258,0.556836966,26.3,23.6,23.6,24.5,,45.3,,,,,
MJUX,POLD1,MJUX_1_scr237,MJUX_hdr691,1124.7,2.022,2.679,202,2.694051747,MJUX_gRNAvec493,1059.1,1.903,2.158,555,3.930223775,0.331213776,29.9,30,31,30.3,,82.55,,,,,
MXXP,RAD21,MXXP_2_scr187,MXXP_hdr482,3867.3,1.989,2.678,316,1.225661314,MXXP_gRNAvec628,947.5,1.915,2.215,540,4.274406332,0.275003382,48.2,48.4,46.2,47.6,,54.1,1973333.333,15786666.67,78.93333333,7514453.333,37.57226667
