Hdr Vector Lot,Date Maveqc,Pass Fail,Gini Coefficient,Total Reads,Accepted Reads,% Reference Reads,% PAM Reads,% Unmapped Reads,% Library Reads,% Correct Size Insert,Library Coverage,Library Size,% Missing Library Sequence,Evidence For Contamination
CQEJ_hdr502,11/07/2024,Pass,0.199,29467752,23230329,0.4,5.8,39,54.8,97.4,9030,1409,0,No
CUGI_hdr594,30/09/2024,Pass,0.22,4931715,3478339,0.1,5,12.4,82.5,95.7,1238,2319,0,No
CUGI_hdr594,30/09/2024,Pass,0.225,4930103,3125808,0.1,4.9,14.9,80.1,98.7,1079,2319,0,No
DIIV_hdr747,10/02/2025,Pass,0.193,11828504,10643658,0,6.2,28.7,65,98.9,8163,848,0,No
EATB_hdr420,02/05/2024,Fail,0.27,42940086,39186303,0.5,9.3,36.8,53.4,85.8,18912,1106,0.2,No
EATB_hdr420,04/06/2024,Pass,0.259,27933109,25061075,0.6,10.3,26.9,62.2,94.3,14083,1106,0.2,No
ECUX_hdr416,02/05/2024,Fail,0.261,39384147,35234828,0.5,7.4,68.3,23.8,82.1,7512,1114,0,No
EGNP_hdr748,10/02/2025,Pass,0.278,10746418,9161964,2.4,9.8,34.5,53.3,99.4,3116,1567,0,No
ELWX_hdr503,11/07/2024,Pass,0.236,36548519,32816662,0.2,8.5,40.5,50.9,97.3,9904,1686,0,No
ELWX_hdr503,11/07/2024,Pass,0.237,37187830,30065453,0.2,8,43.3,48.5,96.4,8652,1686,0,No
ERMR_hdr599,30/09/2024,Pass,0.183,5913272,4811259,0.1,3.8,13.9,82.2,96.7,3381,1170,0.1,No
ERMR_hdr599,30/09/2024,Pass,0.19,5216558,3812888,0.1,3.8,16.9,79.2,98.3,2581,1170,0.1,No
ESBC_hdr749,10/02/2025,Pass,0.253,11818252,10418744,0.5,11.6,22.5,65.5,99,4627,1474,0,No
EUWM_hdr608,07/11/2024,Pass,0.234,12592591,5148461,0,1,56.8,42.2,99.4,1959,1108,0,Yes
EUWM_hdr608,07/11/2024,Pass,0.238,13052385,5732972,0,0.9,59.1,40,98.8,2067,1108,0,Yes
EXTP_hdr540,09/09/2024,Pass,0.158,9523730,7323880,1.5,6.2,26.2,66,96.2,5694,849,0,No
EXTP_hdr540,09/09/2024,Pass,0.158,9023154,6692681,1.5,6.2,27.2,65.2,92.4,5137,849,0,No
FBSZ_hdr518,08/08/2024,Pass,0.254,16332983,14061124,0.1,6.2,37.7,56,96.5,7460,1055,0,No
FBSZ_hdr518,08/08/2024,Pass,0.255,16167802,13568073,0.1,6.2,37.6,56.1,98.4,7211,1055,0,No
FBSZ_hdr518,08/08/2024,Pass,0.258,16578957,13210504,0.1,5.9,39.9,54.1,98,6770,1055,0,No
FBSZ_hdr518,08/08/2024,Pass,0.26,16500518,12661244,0.1,5.9,40,54,99,6478,1055,0,No
FHPI_hdr750,10/02/2025,Pass,0.277,11863033,10657416,0.1,13.2,23.4,63.2,98.3,4402,1531,0,No
FIYW_hdr600,30/09/2024,Pass,0.292,5294637,3779269,0,9.6,15.7,74.7,95.1,1932,1460,0,No
FIYW_hdr600,30/09/2024,Pass,0.299,5302956,3468628,0,9.7,16.8,73.6,98.3,1747,1460,0,No
FKKY_hdr519,08/08/2024,Pass,0.22,17073608,14265735,0.1,8.1,27.1,64.7,97.5,7200,1281,0,No
FKKY_hdr519,08/08/2024,Pass,0.22,19602095,16885154,0.1,8.1,27.4,64.4,95.8,8488,1281,0,No
FKKY_hdr519,08/08/2024,Pass,0.22,20097910,16853247,0.1,7.8,29.4,62.7,95.6,8244,1281,0,No
FKKY_hdr519,08/08/2024,Pass,0.222,17257897,13854267,0.1,7.9,28.9,63.1,97.7,6822,1281,0,No
FOFT_hdr580,25/09/2024,Pass,0.234,6258384,4538175,0.1,8.5,17.7,73.8,96.8,2425,1380,0,No
FOFT_hdr580,25/09/2024,Pass,0.237,5882137,4002475,0.1,8.6,17.7,73.7,98.5,2136,1380,0,No
FOXD_hdr625,07/11/2024,Pass,0.2,14483111,12143211,0,3,21.7,75.2,98.7,9547,957,0,Yes
FOXD_hdr625,07/11/2024,Pass,0.2,13371094,10885291,0,2.9,23.6,73.5,98.1,8355,957,0,Yes
FOXD_hdr625,07/11/2024,Pass,0.201,10757556,8417305,0,2.1,42.6,55.2,98.3,3504,1326,0,Yes
FYKN_hdr584,25/09/2024,Pass,0.409,5753766,3122048,0.1,7.7,44.2,48.1,95.2,711,2111,0,No
FYKN_hdr584,25/09/2024,Pass,0.41,5381974,2642174,0.1,7.8,43.7,48.5,98.3,606,2111,0,No
GMSR_hdr557,09/09/2024,Pass,0.26,8107692,5747575,0.1,10.7,27.6,61.6,99.2,1862,1901,0,No
GMSR_hdr557,09/09/2024,Pass,0.262,7420759,4923038,0.1,10.6,27.6,61.7,99,1597,1901,0,No
GYVX_hdr606,07/11/2024,Pass,0.201,11286320,8734983,0,2.1,44.1,53.8,97.4,3546,1326,0,Yes
HDOI_hdr520,08/08/2024,Pass,0.134,14728385,11173361,0.1,6.8,35.8,57.3,99.1,5212,1229,0,No
HDOI_hdr520,08/08/2024,Pass,0.134,14417220,11382566,0.1,6.9,35,58.1,98,5376,1229,0,No
HDOI_hdr520,08/08/2024,Pass,0.134,17098071,14599023,0.1,7,33.9,59.1,97.5,7022,1229,0,No
HDOI_hdr520,08/08/2024,Pass,0.136,17760832,14780396,0.1,6.9,34,59,98.8,7096,1229,0,No
HNQR_hdr480,11/07/2024,Pass,0.177,29722274,27304506,0.1,5.5,20.3,74.1,99.2,17942,1128,0,No
HNQR_hdr480,11/07/2024,Pass,0.177,32088923,27584984,0.1,5.1,26.2,68.6,98.5,16779,1128,0,No
HNQR_hdr558,09/09/2024,Pass,0.224,8604538,7181566,0.1,8.4,26.8,64.7,96.9,4117,1128,0,No
HNQR_hdr558,09/09/2024,Pass,0.224,9241144,7640287,0.1,8.2,28.5,63.1,94.2,4276,1128,0,No
HPLE_hdr607,07/11/2024,Pass,0.24,17023571,14125309,0,3.1,26.7,70.2,99.6,5037,1969,0,Yes
HPLE_hdr607,07/11/2024,Pass,0.241,16885866,14104406,0,3.1,26.7,70.2,99.9,5026,1969,0,Yes
HSHK_hdr751,10/02/2025,Pass,0.215,11735160,10323658,0.4,8.7,24.9,66,99.3,5425,1255,0,No
HTTD_hdr752,10/02/2025,Pass,0.234,11649571,10161118,1.2,9.5,26.3,63,99.4,4414,1451,0,No
HUKW_hdr011,04/06/2024,Pass,0.134,34451026,28987777,0.4,12.6,35.6,51.4,98.4,7641,1949,0,No
IBZO_hdr596,30/09/2024,Pass,0.157,5272019,3901343,0.2,5.5,8,86.3,97.2,1449,2323,0,No
IBZO_hdr596,30/09/2024,Pass,0.159,5589407,3858728,0.2,5.5,9.9,84.4,99,1402,2323,0,No
IDEO_hdr765,14/02/2025,Pass,0.289,11760802,9131459,0.3,14,14,71.8,98,3569,1836,0,No
IHMH_hdr521,08/08/2024,Pass,0.279,15469639,13237394,0.1,9.8,32.3,57.8,96,4877,1568,0.1,No
IHMH_hdr521,08/08/2024,Pass,0.281,16044307,13479605,0.1,9.9,31.9,58.1,97.9,4998,1568,0.1,No
IHMH_hdr521,08/08/2024,Pass,0.283,12934358,10861010,0.1,9.6,33.2,57.2,95.3,3961,1568,0.1,No
IHMH_hdr521,08/08/2024,Pass,0.285,12628190,10291483,0.1,9.7,32.4,57.8,97.6,3793,1568,0.1,No
IPMH_hdr579,25/09/2024,Pass,0.216,6556520,4516412,0,5,22,73,97.6,2041,1616,0,No
IPMH_hdr579,25/09/2024,Pass,0.217,5969382,3771926,0,5,21.8,73.2,98.9,1708,1616,0,No
IRIE_hdr436,01/07/2024,Fail,0.543,12098268,10096022,0.2,9,42.1,48.6,99.5,3094,1585,0.3,No
IRIE_hdr541,09/09/2024,Pass,0.281,9630107,6869703,0.3,10.5,34.9,54.2,98.5,2348,1585,0,No
IRIE_hdr541,09/09/2024,Pass,0.281,8843558,6003938,0.3,10.5,34.9,54.3,97.6,2057,1585,0,No
ISPS_hdr723,17/01/2025,Pass,0.225,37890526,34357211,0.1,3.6,27.8,68.6,97.7,16407,1437,0,Yes
ISPS_hdr723,17/01/2025,Pass,0.225,49524327,45677965,0,3.5,30,66.4,95.5,21118,1437,0,Yes
IZFR_hdr465,01/07/2024,Pass,0.136,15798620,12733081,0,4.7,23.5,71.7,98.5,4589,1989,0,No
IZQL_hdr766,14/02/2025,Pass,0.286,11804355,10089630,0.1,14.8,22.5,62.6,98.3,3271,1931,0,No
JCFE_hdr767,14/02/2025,Pass,0.243,11548208,8424502,0.6,8.3,32.8,58.3,98.6,3874,1268,0,No
JCOL_hdr419,02/05/2024,Fail,0.171,42375091,38965171,0.6,10.6,44.3,44.5,84.2,12346,1405,0,No
JCOL_hdr419,04/06/2024,Pass,0.163,26153845,23107686,0.7,13.6,29.1,56.6,92.4,9310,1405,0,No
JJIG_hdr597,30/09/2024,Pass,0.245,4876018,3505437,0.1,7.5,10.1,82.3,97.3,1232,2341,0.2,No
JJIG_hdr597,30/09/2024,Pass,0.253,5017349,3323273,0.1,7.3,13.7,78.8,99.1,1119,2341,0.2,No
JKZA_hdr768,14/02/2025,Pass,0.269,11828673,10641224,0.5,12.6,31.1,55.8,99.3,3020,1967,0,No
JPOL_hdr595,30/09/2024,Pass,0.21,4948480,3629078,0.1,3.8,11.3,84.7,95.1,1356,2267,0,No
JPOL_hdr595,30/09/2024,Pass,0.212,4981903,3377104,0.1,3.8,12.8,83.2,98.3,1239,2267,0,No
