Hdr Vector Lot,Date Maveqc,Pass Fail,Gini Coefficient,Total Reads,Accepted Reads,% Reference Reads,% PAM Reads,% Unmapped Reads,% Library Reads,% Correct Size Insert,Library Coverage,Library Size,% Missing Library Sequence,Evidence For Contamination
PBTD_hdr409,17/05/2024,Fail,0.188,28963996,24505502,0.2,5.9,62.7,31.2,72.7,5995,1274,0.1,No
PBTD_hdr409,28/05/2024,Fail,0.161,25254290,21405968,0.3,6.9,56.2,36.6,74.5,6144,1274,0.1,No
PBTD_hdr409,04/06/2024,Fail,0.136,31363096,26520938,0,3.1,28.2,68.7,85.5,14299,1274,0.1,No
PBTD_hdr409,04/06/2024,Fail,0.144,30854854,26525110,0.4,9.7,39.6,50.4,87.3,10487,1274,0.1,No
PBTD_hdr409,01/07/2024,Pass,0.147,12589983,9591012,0.4,11.6,27.5,60.5,95.2,4551,1274,0.1,No
PBTD_hdr543,09/09/2024,Pass,0.146,9516071,7360615,0.2,10.1,36.9,52.8,90.4,3047,1274,0.1,No
PBTD_hdr543,09/09/2024,Pass,0.147,10099262,8112589,0.2,10.8,32.6,56.3,94.6,3586,1274,0.1,No
PFHE_hdr694,19/12/2024,Pass,0.207,22743260,19089551,0,5.4,32.5,62,97.8,7339,1612,0.1,Yes
PFHE_hdr694,19/12/2024,Pass,0.208,22241763,18258574,0,5.5,32.3,62.1,98.8,7038,1612,0.1,Yes
PHNN_hdr627,07/11/2024,Pass,0.18,13296233,10666231,1.4,7.2,29.9,61.6,97.8,4206,1561,0.1,Yes
PHNN_hdr627,07/11/2024,Pass,0.182,13038634,10610728,1.4,7.3,29.3,62.1,98.7,4220,1561,0.1,Yes
PIMY_hdr018,04/06/2024,Pass,0.129,28616652,24056133,0.3,10.7,38.6,50.4,98.2,8780,1381,0,No
PSYW_hdr472,01/07/2024,Pass,0.183,17273418,13912774,1.2,3.5,27.7,67.6,98.7,4832,1946,0,No
PWNN_hdr724,17/01/2025,Pass,0.237,32698819,27371696,0.1,5.2,38.7,56,98.4,8984,1705,0.1,Yes
PWNN_hdr724,17/01/2025,Pass,0.238,29067813,23757108,0.1,5.3,37.7,56.9,99.2,7932,1705,0.1,Yes
PWNN_hdr859,24/03/2025,Pass,0.251,11324872,7913798,1.7,5.3,36,56.9,98,2642,1705,0.1,No
QIIF_hdr686,19/12/2024,Fail,0.428,14221516,2577288,0.2,0.8,90.5,8.4,98.5,172,1260,0,No
QIIF_hdr686,19/12/2024,Fail,0.481,13490291,1819067,0.2,0.7,91.8,7.3,99.2,105,1260,0.1,No
QLRR_hdr726,17/01/2025,Pass,0.19,37091762,32008658,1.3,4.2,38.6,55.9,95.6,8016,2231,0,No
QLRR_hdr726,17/01/2025,Pass,0.191,32118996,27077733,1.3,4.3,37.2,57.2,97.8,6940,2231,0,No
QPAT_hdr418,02/05/2024,Fail,0.218,30383898,24823726,0,7.5,47,45.5,88.5,9447,1195,0.1,No
QPAT_hdr418,04/06/2024,Fail,0.211,26462979,21243620,0,7.7,43.3,48.9,94,8696,1195,0.1,No
QPAT_hdr418,01/07/2024,Pass,0.203,11585163,8541933,0,8.8,36.4,54.7,96.5,3911,1195,0.2,No
QPAT_hdr530,08/08/2024,Pass,0.188,16861602,11599379,0.1,8.6,36.2,55.1,98.3,5347,1195,0.1,No
QPAT_hdr530,08/08/2024,Pass,0.188,15944591,11520689,0.1,8.6,36,55.3,96.5,5327,1195,0.1,No
QPAT_hdr530,08/08/2024,Pass,0.194,15060904,11348995,0.1,8.2,38.3,53.4,97.5,5071,1195,0.1,No
QPAT_hdr530,08/08/2024,Pass,0.197,16387091,11877923,0.1,8,40,51.9,98.7,5163,1195,0.1,No
QYMJ_hdr715,17/01/2025,Fail,0.243,28727377,25301657,2.5,5.2,58.4,33.8,98.5,4170,2051,0,No
QYMJ_hdr715,17/01/2025,Fail,0.244,37118663,32519151,2.5,5.3,58.3,33.9,99.1,5373,2051,0,No
QYMJ_hdr715,16/05/2025,Fail,0.249,9334715,6992122,1.7,3.8,70,24.5,97.8,836,2051,0,No
RBMZ_hdr522,08/08/2024,Pass,0.155,10189193,7534799,0.1,8.1,43,48.8,87.4,2150,1709,0,No
RBMZ_hdr522,08/08/2024,Pass,0.157,8210694,5567183,0.2,10.4,27,62.4,94.5,2033,1709,0,No
RBMZ_hdr522,08/08/2024,Pass,0.159,13770778,10442048,0.2,7.9,32.3,59.7,98.2,3645,1709,0,No
RBMZ_hdr522,08/08/2024,Pass,0.16,14492005,11359528,0.2,7.8,33.1,59,96.4,3922,1709,0,No
ROCX_hdr826,05/03/2025,Pass,0.223,11645957,9533993,0.5,9.8,23,66.6,98.6,4870,1304,0,No
RQJH_hdr692,19/12/2024,Pass,0.225,25109045,21664920,1.3,4.4,31.2,63.1,97.9,7534,1814,0,Yes
RQJH_hdr692,19/12/2024,Pass,0.225,28166585,24593240,1.3,4.3,33,61.4,95.9,8325,1814,0,Yes
RSDC_hdr523,08/08/2024,Pass,0.129,13315359,9905223,0.1,13.6,25.1,61.2,97.8,2792,2171,0,No
RSDC_hdr523,08/08/2024,Pass,0.132,14042625,10185650,0.1,13.5,25.7,60.8,98.9,2852,2171,0,No
RSDC_hdr523,08/08/2024,Pass,0.136,12072659,8767103,0.1,13.7,24.2,62,97.4,2502,2171,0,No
RSDC_hdr523,08/08/2024,Pass,0.141,12951908,9190018,0.1,13.6,25,61.3,98.8,2595,2171,0,No
RVMB_hdr524,08/08/2024,Pass,0.278,14447045,10479208,0.1,9.6,33.2,57.1,96.5,3759,1591,0,No
RVMB_hdr524,08/08/2024,Pass,0.281,14673203,10213101,0.1,9.6,33.8,56.5,98.1,3628,1591,0,No
RVMB_hdr524,08/08/2024,Pass,0.347,8968447,5277687,0.1,13.6,36.5,49.8,91.7,1650,1591,0,No
RVMB_hdr524,08/08/2024,Pass,0.35,8387209,4411237,0.1,15.3,28.2,56.4,96.4,1564,1591,0,No
RWPM_hdr810,27/02/2025,Pass,0.22,11711984,9909324,0.2,4.6,16,79.2,95.6,10968,716,0,No
RYFS_hdr525,08/08/2024,Pass,0.299,15880246,13302057,0.1,11.7,38.4,49.9,98,3325,1994,0,No
RYFS_hdr525,08/08/2024,Pass,0.301,15997166,12967830,0.1,11.7,38.3,50,98.9,3248,1994,0,No
RYFS_hdr525,08/08/2024,Pass,0.311,13795375,11264122,0.1,11.2,40,48.8,97.9,2757,1994,0,No
RYFS_hdr525,08/08/2024,Pass,0.315,13704771,10807880,0.1,11.2,39.8,48.9,98.9,2652,1994,0,No
SAGQ_hdr713,17/01/2025,Fail,0.363,27936061,17930330,0,4.3,52.4,43.3,99,4750,1635,0,Yes
SAGQ_hdr713,17/01/2025,Fail,0.385,29350042,18746042,0,3.6,57.9,38.6,98.1,4419,1635,0,Yes
SBPS_hdr538,09/09/2024,Fail,,0,,0,0,,0,,,,,
SBPS_hdr831,16/05/2025,Pass,0.144,11791631,9382875,0.3,4.2,29.6,65.9,98.2,4473,1382,0,No
SGNK_hdr811,27/02/2025,Pass,0.28,11661436,8603711,0.5,14.1,19.5,65.9,99.2,2453,2311,0,No
SHWH_hdr454,01/07/2024,Pass,0.272,12333943,10119029,0.1,7.1,37.2,55.5,97.5,3543,1584,0,No
SKAE_hdr865,24/03/2025,Pass,0.269,11723946,8512431,0.6,13.6,16.1,69.7,98.7,2933,2023,0,No
SNYL_hdr866,24/03/2025,Pass,0.185,11761643,9519355,0.1,6.5,21.9,71.5,98.6,9193,740,0,No
SQVC_hdr867,24/03/2025,Pass,0.237,11606334,9043192,0.8,10.2,21.8,67.2,99.1,5113,1189,0,No
SUHO_hdr526,08/08/2024,Pass,0.115,13668889,9938881,0,7.6,31.2,61.2,98.4,4511,1349,0,No
SUHO_hdr526,08/08/2024,Pass,0.117,13944428,9831197,0,7.6,31.8,60.6,99.2,4416,1349,0,No
SUHO_hdr526,08/08/2024,Pass,0.269,16957126,14173571,0,7.9,35.1,56.9,98,5745,1404,0,No
SUHO_hdr526,08/08/2024,Pass,0.271,16739480,13494842,0,7.9,35.6,56.4,98.9,5424,1404,0,No
TJPL_hdr868,24/03/2025,Pass,0.19,11678369,9027921,0.4,7.1,21,71.5,99,7455,866,0,No
TNLV_hdr577,25/09/2024,Pass,0.12,5188278,4109722,0.2,2.6,14.6,82.6,98.6,2033,1670,0,No
TNLV_hdr577,25/09/2024,Pass,0.122,4851032,3552459,0.2,2.6,14.3,82.9,99.1,1763,1670,0,No
TSTY_hdr869,24/03/2025,Pass,0.229,11581011,8880509,0.1,8.2,26.7,65,99,5026,1149,0,No
UYMP_hdr141,28/05/2024,Fail,0.385,36523435,33410153,0.1,2.5,22.2,75.1,96.2,11909,2108,1.2,No
VAQK_hdr395,01/07/2024,Pass,0.384,15787934,12799741,1.1,16.6,32.9,49.4,96.8,3079,2052,0,No
VAQK_hdr397,17/05/2024,Fail,0.385,26815269,23055977,0.4,6.3,74.5,18.8,66,2114,2052,0,No
VAQK_hdr397,17/05/2024,Fail,0.386,31925607,26713799,0.7,9.7,60.8,28.8,77.8,3755,2052,0,No
VAQK_hdr397,28/05/2024,Fail,0.385,37871126,33508849,0.4,5.3,78.1,16.2,64.2,2652,2052,0,No
VAQK_hdr397,04/06/2024,Fail,0.245,30850855,23326434,0,7.2,45.1,47.7,70.8,5425,2052,0,No
VAQK_hdr397,04/06/2024,Fail,0.38,34993930,29943248,0.9,14.2,43.1,41.8,89.6,6094,2052,0,No
VAQK_hdr687,19/12/2024,Pass,0.233,23714365,19544157,0.2,4.8,35.6,59.4,92.4,5658,2052,0,No
VAQK_hdr687,19/12/2024,Pass,0.234,20999882,16903691,0.2,5.1,31,63.6,97.1,5242,2052,0,No
VBAD_hdr693,19/12/2024,Pass,0.158,16712374,14344291,9.9,3.4,29.2,57.5,97.5,6034,1366,0.2,Yes
VBAD_hdr693,19/12/2024,Pass,0.163,20418885,17827231,9.6,3.3,30.4,56.6,95.6,7389,1366,0.2,Yes
VDHJ_hdr435,28/05/2024,Fail,0.124,23759399,20600148,0.1,9.8,49.2,40.9,83.9,4723,1783,0,No
VDHJ_hdr435,04/06/2024,Pass,0.117,25585899,22488464,0.1,12.5,33.9,53.4,94.4,6740,1783,0,No
WFBN_hdr410,17/05/2024,Fail,0.152,30906235,26329194,0.5,3.6,63,32.9,79.8,6808,1271,0,No
WFBN_hdr410,17/05/2024,Fail,0.152,29519655,25343192,0.5,3.4,64.6,31.5,78.8,6277,1271,0,No
WFBN_hdr410,28/05/2024,Fail,0.146,41755029,37026746,0.4,2.7,70.4,26.5,73.2,7718,1271,0,No
WFBN_hdr410,04/06/2024,Fail,0.123,37924479,32336212,0,4,26.8,69.2,86.7,17598,1271,0,No
WFBN_hdr410,04/06/2024,Fail,0.141,41465201,36246144,0.8,5,44.2,50,91.8,14246,1271,0,No
WFBN_hdr835,05/03/2025,Pass,0.098,11873025,9975618,0.9,4,22.8,72.2,98.5,5665,1271,0,No
XEDQ_hdr481,11/07/2024,Pass,0.218,33841398,28622423,0,7.4,27.5,65.1,99.3,12871,1447,0,No
XEDQ_hdr481,11/07/2024,Pass,0.219,33353772,30162963,0,7.9,23.6,68.5,99.6,14275,1447,0,No
XSQZ_hdr489,11/07/2024,Pass,0.146,35994884,32668158,0.1,5.2,37,57.7,97.8,16218,1162,0,No
XSQZ_hdr489,11/07/2024,Pass,0.146,38155037,31452154,0.1,4.9,40.3,54.8,97,14829,1162,0,No
YBNX_hdr490,11/07/2024,Pass,0.155,36835382,29382488,0,8.4,33.6,58,98.8,13022,1308,0,No
YBNX_hdr490,11/07/2024,Pass,0.162,34962497,24835063,0,8,36.3,55.7,98.5,10575,1308,0,No
YJWX_hdr628,08/11/2024,Pass,0.252,12958831,10891341,0,8.2,38.6,53.2,98.8,4702,1233,0,No
YJWX_hdr628,08/11/2024,Pass,0.254,12782129,10679136,0,8.8,34.5,56.8,97.7,4915,1233,0,No
YMXP_hdr426,28/05/2024,Fail,0.377,30645689,27070559,1.8,4.5,67,26.7,77.2,5080,1422,0,No
YMXP_hdr426,04/06/2024,Pass,0.372,24726638,21501895,3.4,8.3,36.6,51.7,92.9,7811,1422,0,No
YTUB_hdr539,09/09/2024,Fail,,0,,0,0,,0,,,,,
YTUB_hdr828,16/05/2025,Pass,0.284,11831591,9955305,0.2,10.7,33.2,55.9,99.2,2513,2212,0,No
ZANL_hdr528,08/08/2024,Pass,0.12,15637523,13437943,0,8.9,30.4,60.7,98.3,4752,1716,0,No
ZANL_hdr528,08/08/2024,Pass,0.121,15816964,13300090,0,8.9,30.6,60.5,99,4690,1716,0,No
ZZNI_hdr406,17/05/2024,Fail,0.349,35280033,28107261,0.5,11.6,51,36.9,77.6,5081,2040,0,No
ZZNI_hdr406,17/05/2024,Fail,0.35,30079133,23564878,0.5,11.6,50.8,37,77.2,4273,2040,0,No
ZZNI_hdr406,28/05/2024,Fail,0.344,23335488,18048125,0.6,12.2,48.4,38.8,77.8,3435,2040,0,No
ZZNI_hdr406,04/06/2024,Fail,0.189,31622530,24512665,0,6.2,28.1,65.7,82.3,7889,2040,0,No
ZZNI_hdr406,04/06/2024,Fail,0.401,36689772,29599030,0.4,14.5,52.5,32.5,77.5,4719,2040,0,No
ZZNI_hdr406,01/07/2024,Pass,0.345,12751121,8960096,0.9,19.2,19.8,60.1,96.8,2639,2040,0,No
