Model,CV Mean Acc,CV Std Acc,Test Acc
KNN (k=5),0.6142857142857142,0.08571428571428572,0.875
SVM (RBF),0.6464285714285716,0.1630387458644761,0.6875
Random Forest,0.9428571428571428,0.11428571428571428,0.9375
Gradient Boosting,0.8928571428571429,0.095831484749991,1.0
Logistic Regression,0.9428571428571428,0.11428571428571428,1.0
